title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Citroen C3 1.4  HDi  VTR+  5dr,2150,,130000,Manual,Diesel,Hatchback,1.4,5.0,Armagh,2022-10-08 20:51:08.543092,usedcarsni.com/2012-Citroen-C3-1-4-HDi-VTR-5dr-307997867?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Grand Modus 1.2  Expression  5dr,2150,,89000,Manual,Petrol,Hatchback,1.1,5.0,Ballygowan,2022-10-08 20:51:08.549591,usedcarsni.com/2008-Renault-Grand-Modus-1-2-Expression-5dr-308320592?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Smart Fortwo Passion  2dr  Auto,2150,,85000,Automatic/Other,Petrol,Hatchback,1.0,2.0,Ballyclare,2022-10-08 20:51:08.558593,usedcarsni.com/2008-Smart-Fortwo-Passion-2dr-Auto-308602972?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Ford Focus 1.6  Zetec  5dr,2150,,143000,Manual,Petrol,Hatchback,1.6,5.0,Ballygowan,2022-10-08 20:51:08.565592,usedcarsni.com/2010-Ford-Focus-1-6-Zetec-5dr-308610965?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
BMW 1 Series 118d  SE  5dr,2190,,139000,Manual,Diesel,Hatchback,2.0,5.0,Ballymena,2022-10-08 20:51:08.574092,usedcarsni.com/2007-BMW-1-Series-118d-SE-5dr-307421084?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Chevrolet Aveo 1.2  LS  5dr,2195,,59989,Manual,Petrol,Hatchback,1.2,5.0,Lisburn,2022-10-08 20:51:08.580091,usedcarsni.com/2010-Chevrolet-Aveo-1-2-LS-5dr-305882737?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Volkswagen Polo 1.4  E  3dr,2195,,110000,Manual,Petrol,Hatchback,1.4,3.0,Belfast,2022-10-08 20:51:08.585591,usedcarsni.com/2001-Volkswagen-Polo-1-4-E-3dr-306944310?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Clio 1.2  16V  Campus  Sport  2007  3dr,2195,,99200,Manual,Petrol,Hatchback,1.1,3.0,Belfast,2022-10-08 20:51:08.593592,usedcarsni.com/2007-Renault-Clio-1-2-16V-Campus-Sport-2007-3dr-307270542?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Combo 2000  1.3CDTi  16V  Crew  Van  [75PS],2199,,159000,Manual,Diesel,MPV,1.2,0,Campsie,2022-10-08 20:51:08.600090,usedcarsni.com/2011-Vauxhall-Combo-2000-1-3CDTi-16V-Crew-Van-75PS-307344290?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Peugeot 308 1.6  HDi  92  Active  5dr,2200,,222000,Manual,Diesel,Hatchback,1.6,5.0,Limavady,2022-10-08 20:51:08.605092,usedcarsni.com/2013-Peugeot-308-1-6-HDi-92-Active-5dr-305082093?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Antara 2.0  CDTi  16v  S  5dr,2350,,70000,Manual,Diesel,Hatchback,2.0,5.0,Coleraine,2022-10-08 20:51:09.262093,usedcarsni.com/2008-Vauxhall-Antara-2-0-CDTi-16v-S-5dr-308153549?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=7&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Clio 1.2  16V  I-Music  3dr,2350,,95000,Manual,Petrol,Hatchback,1.1,3.0,Belfast,2022-10-08 20:51:09.271093,usedcarsni.com/2010-Renault-Clio-1-2-16V-I-Music-3dr-308523444?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=7&price_from=0&price_to=0&trans_type=0&user_type=0,
Peugeot 207 1.6  HDi  110  Sport  3dr,2350,,0,Manual,Diesel,Hatchback,1.6,3.0,Magherafelt,2022-10-08 20:51:09.276591,usedcarsni.com/2008-Peugeot-207-1-6-HDi-110-Sport-3dr-308600381?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=7&price_from=0&price_to=0&trans_type=0&user_type=0,
Citroen C3 1.4i  VTR+  5dr,2375,,95050,Manual,Petrol,Hatchback,1.4,5.0,Limavady,2022-10-08 20:51:09.284092,usedcarsni.com/2010-Citroen-C3-1-4i-VTR-5dr-300929684?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=7&price_from=0&price_to=0&trans_type=0&user_type=0,
